Namespace(H=800, O=True, O2=False, W=800, albedo=False, albedo_iters=1000, angle_front=60, angle_overhead=30, backbone='grid', bg_radius=1.4, blob_density=10, blob_radius=0.5, bound=1, ckpt='latest', cuda_ray=True, decimate_target=100000.0, density_activation='softplus', density_thresh=0.1, dir_text=True, dt_gamma=0, eval_interval=1, fovy=60, fovy_range=[40, 70], fp16=True, gui=False, guidance='stable-diffusion', h=64, hf_key=None, iters=10000, jitter_pose=False, lambda_entropy=0.0001, lambda_opacity=0, lambda_orient=0.01, lambda_tv=0, light_phi=0, light_theta=60, lr=0.001, max_ray_batch=4096, max_spp=1, max_steps=1024, mcubes_resolution=256, min_lr=0.0001, min_near=0.1, negative='', num_steps=64, optim='adan', radius=3, radius_range=[1.0, 1.5], save_mesh=False, sd_version='2.1', seed=0, suppress_face=False, test=False, text='a cute girl', uniform_sphere_rate=0.5, update_extra_interval=16, upsample_steps=32, w=64, warm_iters=500, workspace='trial')
NeRFNetwork(
  (encoder): GridEncoder: input_dim=3 num_levels=16 level_dim=2 resolution=16 -> 2048 per_level_scale=1.3819 params=(6119864, 2) gridtype=hash align_corners=False interpolation=smoothstep
  (sigma_net): MLP(
    (net): ModuleList(
      (0): Linear(in_features=32, out_features=4, bias=True)
    )
  )
  (normal_net): MLP(
    (net): ModuleList(
      (0): Linear(in_features=32, out_features=3, bias=True)
    )
  )
  (encoder_bg): FreqEncoder: input_dim=3 degree=4 output_dim=27
  (bg_net): MLP(
    (net): ModuleList(
      (0): Linear(in_features=27, out_features=16, bias=True)
      (1): Linear(in_features=16, out_features=3, bias=True)
    )
  )
)
[INFO] loading stable diffusion...
[INFO] loaded stable diffusion!
[INFO] Cmdline: main.py --text a cute girl --workspace trial -O
[INFO] Trainer: df | 2023-04-09_03-27-50 | cuda | fp16 | trial
[INFO] #parameters: 12240458
[INFO] Loading latest checkpoint ...
[WARN] No checkpoint found, model randomly initialized.
current epoch: 1
==> Start Training trial Epoch 1, lr=0.050000 ...

  0% 0/100 [00:00<?, ?it/s]
loss=1.0000 (1.0000), lr=0.050000: :   0% 0/100 [00:01<?, ?it/s]
loss=1.0000 (1.0000), lr=0.050000: :   1% 1/100 [00:01<01:59,  1.21s/it]
loss=1.0001 (1.0001), lr=0.050000: :   1% 1/100 [00:01<01:59,  1.21s/it]
loss=1.0001 (1.0001), lr=0.050000: :   2% 2/100 [00:01<00:58,  1.68it/s]
loss=1.0000 (1.0000), lr=0.050000: :   2% 2/100 [00:01<00:58,  1.68it/s]
loss=1.0000 (1.0000), lr=0.050000: :   3% 3/100 [00:01<00:38,  2.52it/s]
loss=1.0001 (1.0001), lr=0.050000: :   3% 3/100 [00:01<00:38,  2.52it/s]
loss=1.0001 (1.0001), lr=0.050000: :   4% 4/100 [00:01<00:29,  3.27it/s]
loss=1.0000 (1.0000), lr=0.050000: :   4% 4/100 [00:01<00:29,  3.27it/s]
loss=1.0000 (1.0000), lr=0.050000: :   5% 5/100 [00:01<00:24,  3.95it/s]
loss=1.0001 (1.0001), lr=0.050000: :   5% 5/100 [00:02<00:24,  3.95it/s]
loss=1.0001 (1.0001), lr=0.050000: :   6% 6/100 [00:02<00:21,  4.47it/s]
loss=1.0000 (1.0000), lr=0.050000: :   6% 6/100 [00:02<00:21,  4.47it/s]
loss=1.0000 (1.0000), lr=0.050000: :   7% 7/100 [00:02<00:18,  4.91it/s]
loss=1.0001 (1.0001), lr=0.050000: :   7% 7/100 [00:02<00:18,  4.91it/s]
loss=1.0001 (1.0001), lr=0.050000: :   8% 8/100 [00:02<00:17,  5.23it/s]
loss=1.0000 (1.0000), lr=0.050000: :   8% 8/100 [00:02<00:17,  5.23it/s]
loss=1.0000 (1.0000), lr=0.050000: :   9% 9/100 [00:02<00:16,  5.51it/s]
loss=1.0000 (1.0000), lr=0.050000: :   9% 9/100 [00:02<00:16,  5.51it/s]
loss=1.0000 (1.0000), lr=0.050000: :  10% 10/100 [00:02<00:15,  5.71it/s]
loss=1.0000 (1.0000), lr=0.050000: :  10% 10/100 [00:02<00:15,  5.71it/s]
loss=1.0000 (1.0000), lr=0.050000: :  11% 11/100 [00:02<00:15,  5.85it/s]
loss=1.0001 (1.0000), lr=0.050000: :  11% 11/100 [00:03<00:15,  5.85it/s]
loss=1.0001 (1.0000), lr=0.050000: :  12% 12/100 [00:03<00:14,  5.93it/s]
loss=1.0001 (1.0000), lr=0.050000: :  12% 12/100 [00:03<00:14,  5.93it/s]
loss=1.0001 (1.0000), lr=0.050000: :  13% 13/100 [00:03<00:14,  5.96it/s]
loss=1.0001 (1.0000), lr=0.050000: :  13% 13/100 [00:03<00:14,  5.96it/s]
loss=1.0001 (1.0000), lr=0.050000: :  14% 14/100 [00:03<00:14,  5.96it/s]
loss=1.0000 (1.0000), lr=0.050000: :  14% 14/100 [00:03<00:14,  5.96it/s]
loss=1.0000 (1.0000), lr=0.050000: :  15% 15/100 [00:03<00:14,  6.05it/s]
loss=1.0000 (1.0000), lr=0.050000: :  15% 15/100 [00:03<00:14,  6.05it/s]
loss=1.0000 (1.0000), lr=0.050000: :  16% 16/100 [00:03<00:13,  6.05it/s]
loss=1.0000 (1.0000), lr=0.050000: :  16% 16/100 [00:03<00:13,  6.05it/s]
loss=1.0000 (1.0000), lr=0.050000: :  17% 17/100 [00:03<00:13,  5.97it/s]
loss=1.0001 (1.0000), lr=0.050000: :  17% 17/100 [00:04<00:13,  5.97it/s]
loss=1.0001 (1.0000), lr=0.050000: :  18% 18/100 [00:04<00:13,  5.94it/s]
loss=1.0001 (1.0000), lr=0.050000: :  18% 18/100 [00:04<00:13,  5.94it/s]
loss=1.0001 (1.0000), lr=0.050000: :  19% 19/100 [00:04<00:13,  5.92it/s]
loss=1.0001 (1.0000), lr=0.050000: :  19% 19/100 [00:04<00:13,  5.92it/s]
loss=1.0001 (1.0000), lr=0.050000: :  20% 20/100 [00:04<00:13,  5.94it/s]
loss=1.0001 (1.0000), lr=0.050000: :  20% 20/100 [00:04<00:13,  5.94it/s]
loss=1.0001 (1.0000), lr=0.050000: :  21% 21/100 [00:04<00:13,  5.95it/s]
loss=1.0001 (1.0000), lr=0.050000: :  21% 21/100 [00:04<00:13,  5.95it/s]
loss=1.0001 (1.0000), lr=0.050000: :  22% 22/100 [00:04<00:13,  5.95it/s]
loss=1.0000 (1.0000), lr=0.050000: :  22% 22/100 [00:04<00:13,  5.95it/s]
loss=1.0000 (1.0000), lr=0.050000: :  23% 23/100 [00:04<00:12,  5.97it/s]
loss=1.0001 (1.0000), lr=0.050000: :  23% 23/100 [00:05<00:12,  5.97it/s]
loss=1.0001 (1.0000), lr=0.050000: :  24% 24/100 [00:05<00:12,  5.94it/s]
loss=1.0000 (1.0000), lr=0.050000: :  24% 24/100 [00:05<00:12,  5.94it/s]
loss=1.0000 (1.0000), lr=0.050000: :  25% 25/100 [00:05<00:12,  5.97it/s]
loss=1.0001 (1.0000), lr=0.050000: :  25% 25/100 [00:05<00:12,  5.97it/s]
loss=1.0001 (1.0000), lr=0.050000: :  26% 26/100 [00:05<00:12,  5.96it/s]
loss=1.0001 (1.0000), lr=0.050000: :  26% 26/100 [00:05<00:12,  5.96it/s]
loss=1.0001 (1.0000), lr=0.050000: :  27% 27/100 [00:05<00:12,  5.92it/s]
loss=1.0000 (1.0000), lr=0.050000: :  27% 27/100 [00:05<00:12,  5.92it/s]
loss=1.0000 (1.0000), lr=0.050000: :  28% 28/100 [00:05<00:12,  5.96it/s]
loss=1.0000 (1.0000), lr=0.050000: :  28% 28/100 [00:05<00:12,  5.96it/s]
loss=1.0000 (1.0000), lr=0.050000: :  29% 29/100 [00:05<00:11,  5.97it/s]
loss=1.0001 (1.0000), lr=0.050000: :  29% 29/100 [00:06<00:11,  5.97it/s]
loss=1.0001 (1.0000), lr=0.050000: :  30% 30/100 [00:06<00:11,  5.96it/s]
loss=1.0001 (1.0000), lr=0.050000: :  30% 30/100 [00:06<00:11,  5.96it/s]
loss=1.0001 (1.0000), lr=0.050000: :  31% 31/100 [00:06<00:11,  5.97it/s]
loss=1.0000 (1.0000), lr=0.050000: :  31% 31/100 [00:06<00:11,  5.97it/s]
loss=1.0000 (1.0000), lr=0.050000: :  32% 32/100 [00:06<00:11,  5.99it/s]
loss=1.0000 (1.0000), lr=0.050000: :  32% 32/100 [00:06<00:11,  5.99it/s]
loss=1.0000 (1.0000), lr=0.050000: :  33% 33/100 [00:06<00:11,  5.98it/s]
loss=1.0000 (1.0000), lr=0.050000: :  33% 33/100 [00:06<00:11,  5.98it/s]
loss=1.0000 (1.0000), lr=0.050000: :  34% 34/100 [00:06<00:11,  5.99it/s]
loss=1.0001 (1.0000), lr=0.050000: :  34% 34/100 [00:06<00:11,  5.99it/s]
loss=1.0001 (1.0000), lr=0.050000: :  35% 35/100 [00:06<00:10,  5.97it/s]
loss=1.0001 (1.0000), lr=0.050000: :  35% 35/100 [00:07<00:10,  5.97it/s]
loss=1.0001 (1.0000), lr=0.050000: :  36% 36/100 [00:07<00:10,  5.94it/s]
loss=1.0000 (1.0000), lr=0.050000: :  36% 36/100 [00:07<00:10,  5.94it/s]
loss=1.0000 (1.0000), lr=0.050000: :  37% 37/100 [00:07<00:10,  5.97it/s]
loss=1.0001 (1.0000), lr=0.050000: :  37% 37/100 [00:07<00:10,  5.97it/s]
loss=1.0001 (1.0000), lr=0.050000: :  38% 38/100 [00:07<00:10,  5.96it/s]
loss=1.0000 (1.0000), lr=0.050000: :  38% 38/100 [00:07<00:10,  5.96it/s]
loss=1.0000 (1.0000), lr=0.050000: :  39% 39/100 [00:07<00:10,  5.98it/s]
loss=1.0001 (1.0000), lr=0.050000: :  39% 39/100 [00:07<00:10,  5.98it/s]
loss=1.0001 (1.0000), lr=0.050000: :  40% 40/100 [00:07<00:10,  5.97it/s]
loss=1.0000 (1.0000), lr=0.050000: :  40% 40/100 [00:07<00:10,  5.97it/s]
loss=1.0000 (1.0000), lr=0.050000: :  41% 41/100 [00:07<00:09,  6.00it/s]
loss=1.0001 (1.0000), lr=0.050000: :  41% 41/100 [00:08<00:09,  6.00it/s]
